	index	KEGG	pvalue	-log(pvalue)	pvalue_corrected
42	42	ko:K00068	3.395713823087663e-14	31.013677305838243	7.540673077375443e-14
43	43	ko:K00073	3.032957904819465e-16	35.73182313835182	7.266945692985236e-16
44	44	ko:K00074	4.478891350930562e-06	12.316135008472363	6.757392294205441e-06
45	45	ko:K00075	7.269906589322061e-38	85.51449009109737	5.345287557356872e-37
46	46	ko:K00076	7.297586737375175e-07	14.130551941380093	1.1154882584273482e-06
47	47	ko:K00077	1.548561600370749e-24	54.824715731545105	5.647041674535843e-24
48	48	ko:K00082	8.592218139288375e-14	30.085334375821535	1.7915876386844374e-13
49	49	ko:K00086	8.592218139288375e-14	30.085334375821535	1.7915876386844374e-13
50	50	ko:K00087	2.319438258995045e-11	24.487110996317938	4.386435330732025e-11
51	51	ko:K00088	7.269906589322061e-38	85.51449009109737	5.345287557356872e-37
53	53	ko:K00096	0.00017649913922302107	8.642194558526208	0.00021063853832720977
54	54	ko:K00097	2.4205906683866732e-20	45.16769027164874	7.106225023581381e-20
55	55	ko:K00099	2.9741092495309078e-30	67.98760820757886	1.4430463256077171e-29
56	56	ko:K00100	0.00039708801653915126	7.831352597720968	0.0004634213189575744
57	57	ko:K00101	4.412673197422999e-05	10.028444791940512	5.520593606375973e-05
58	58	ko:K00102	1.9471684747255315e-09	20.056889583881023	3.266166261647694e-09
59	59	ko:K00103	4.412673197422999e-05	10.028444791940512	5.520593606375973e-05
60	60	ko:K00104	3.1143699012244266e-07	14.982068798080705	4.816670984548695e-07
61	61	ko:K00105	8.592218139288375e-14	30.085334375821535	1.7915876386844374e-13
62	62	ko:K00108	4.412673197422999e-05	10.028444791940512	5.520593606375973e-05
63	63	ko:K00111	9.033941991000665e-47	106.02051055469491	1.5630641759748387e-45
64	64	ko:K00112	4.412673197422999e-05	10.028444791940512	5.520593606375973e-05
65	65	ko:K00113	4.412673197422999e-05	10.028444791940512	5.520593606375973e-05
66	66	ko:K00116	4.412673197422999e-05	10.028444791940512	5.520593606375973e-05
